Gene,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA tissue cell type enrichment
PI4KA,Tissue enhanced,Detected in all,,brain: 102.6,"Testis - Spermatocytes, Testis - Spermatogonia"
PIANP,Tissue enriched,Detected in many,7,brain: 142.8,Testis - Spermatogonia
PIAS2,Tissue enriched,Detected in all,4,testis: 65.3,Testis - Early spermatids
PIERCE1,Tissue enhanced,Detected in many,,choroid plexus: 59.4;fallopian tube: 94.0;testis: 60.7,"Breast - Breast glandular cells, Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Thyroid glandular cells"
PIEZO2,Tissue enhanced,Detected in many,,brain: 6.2,"Breast - Fibroblasts, Colon - Enteric glia cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Fibroblasts"
PIF1,Tissue enhanced,Detected in many,,lymphoid tissue: 4.7,"Heart muscle - Fibroblasts, Skin - Mitotic cells (Skin)"
PIFO,Group enriched,Detected in many,6,choroid plexus: 137.9;fallopian tube: 168.5,"Breast - Breast myoepithelial cells, Heart muscle - Cardiomyocytes, Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Thyroid glandular cells"
PIGR,Tissue enhanced,Detected in many,,intestine: 2560.5;salivary gland: 1591.8,"Colon - Colon enterocytes, Lung - Alveolar cells type 2, Skin - Eccrine sweat gland cells"
PIGZ,Tissue enhanced,Detected in many,,brain: 25.2;intestine: 38.0,
PIH1D2,Tissue enriched,Detected in many,4,testis: 64.5,"Lung - Respiratory ciliated cells, Testis - Early spermatids, Thyroid - Thyroid glandular cells"
PIK3AP1,Tissue enhanced,Detected in many,,liver: 80.7;lymphoid tissue: 60.6;salivary gland: 71.6,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Lung - Neutrophil_2, Skeletal muscle - Macrophages, Stomach - Macrophages, Thyroid - Macrophages"
PIK3C2G,Tissue enhanced,Detected in many,,epididymis: 16.3;stomach 1: 21.1,Liver - Hepatocytes
PIK3CD,Group enriched,Detected in many,5,bone marrow: 46.2;intestine: 11.7;lymphoid tissue: 44.1,"Prostate - T-cells, Testis - Spermatogonia, Thyroid - T-cells"
PIK3CG,Group enriched,Detected in many,6,bone marrow: 43.1;lymphoid tissue: 19.1,"Testis - Early spermatids, Testis - Spermatocytes"
PIK3R5,Tissue enriched,Detected in many,4,bone marrow: 88.2,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Pancreas - Macrophages, Skeletal muscle - Macrophages, Stomach - Macrophages, Testis - Late spermatids"
PIK3R6,Tissue enhanced,Detected in some,,lymphoid tissue: 2.8,"Colon - Mast cells, Testis - Late spermatids, Thyroid - T-cells"
PIM1,Tissue enhanced,Detected in all,,bone marrow: 216.1,Colon - Neutrophils
PIM2,Tissue enhanced,Detected in all,,bone marrow: 101.1;intestine: 85.1;lymphoid tissue: 160.0,"Adipose visceral - Plasma cells, Breast - Plasma cells, Lung - Plasma cells, Stomach - Plasma cells"
PIMREG,Tissue enhanced,Detected in some,,lymphoid tissue: 13.6,"Colon - Mitotic cells (Colon), Heart muscle - Mitotic cells (Heart), Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Thyroid - Mitotic cells (Thyroid)"
PIN1,Tissue enhanced,Detected in all,,brain: 259.9,
PINK1,Tissue enhanced,Detected in all,,skeletal muscle: 370.9;tongue: 377.3,"Liver - Hepatocytes, Testis - Early spermatids"
PINX1,Tissue enhanced,Detected in some,,cervix: 2.8;vagina: 5.4,
PIP,Tissue enriched,Detected in many,5,salivary gland: 16308.1,"Breast - Breast glandular cells, Lung - Respiratory ciliated cells, Skin - Eccrine sweat gland cells"
PIP4K2A,Tissue enhanced,Detected in all,,brain: 247.3,
PIP5K1B,Tissue enhanced,Detected in many,,choroid plexus: 114.5,"Adipose visceral - Mesothelial cells, Lung - Alveolar cells type 2, Skin - Eccrine sweat gland cells"
PIP5K1C,Tissue enhanced,Detected in all,,brain: 126.2,"Liver - Vascular Endothelial cells, Prostate - Smooth muscle cells, Testis - Early spermatids"
PIPOX,Group enriched,Detected in many,13,kidney: 140.6;liver: 491.1,"Kidney - Proximal tubular cells, Liver - Hepatocytes"
PIRT,Tissue enhanced,Detected in some,,brain: 11.4;intestine: 3.8,Colon - Colon enteroendocrine cells
PITPNM2,Tissue enriched,Detected in all,6,lymphoid tissue: 83.0,
PITPNM3,Tissue enhanced,Detected in many,,brain: 38.4;lymphoid tissue: 59.4,"Liver - Sinusoid Endothelial cells, Lung - Alveolar cells type 2, Testis - Early spermatids, Testis - Late spermatids"
PITX1,Tissue enhanced,Detected in many,,esophagus: 691.6;vagina: 193.0,Lung - Respiratory ciliated cells
PITX2,Tissue enhanced,Detected in many,,placenta: 40.6;skeletal muscle: 41.6;tongue: 27.0;urinary bladder: 28.5,
PITX3,Tissue enhanced,Detected in some,,brain: 3.4;skeletal muscle: 15.9;tongue: 5.7,"Breast - Adipocytes (Breast), Testis - Late spermatids"
PIWIL1,Tissue enriched,Detected in some,36,testis: 41.5,"Testis - Early spermatids, Testis - Spermatocytes"
PIWIL2,Tissue enriched,Detected in many,5,testis: 27.9,"Testis - Spermatocytes, Testis - Spermatogonia"
PIWIL4,Tissue enhanced,Detected in many,,bone marrow: 24.0,"Heart muscle - Fibroblasts, Prostate - Fibroblasts, Testis - Spermatogonia"
PJA1,Tissue enhanced,Detected in all,,epididymis: 156.1,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Testis - Sertoli cells, Thyroid - Thyroid glandular cells"
PJVK,Tissue enhanced,Detected in many,,testis: 26.6,"Testis - Early spermatids, Testis - Late spermatids"
PKD1,Tissue enhanced,Detected in all,,brain: 252.1,
PKD1L2,Tissue enhanced,Detected in some,,adipose tissue: 7.7;choroid plexus: 8.4;heart muscle: 7.7,Heart muscle - Cardiomyocytes
PKD1L3,Tissue enhanced,Detected in single,,liver: 1.0,Adipose subcutaneous - Macrophages
PKD2L1,Tissue enhanced,Detected in some,,lymphoid tissue: 7.7;retina: 12.9,"Testis - Early spermatids, Testis - Late spermatids"
PKD2L2,Tissue enhanced,Detected in some,,testis: 7.9,Testis - Early spermatids
PKDCC,Tissue enhanced,Detected in many,,skeletal muscle: 82.5,Breast - Adipocytes (Breast)
PKDREJ,Tissue enriched,Detected in single,6,testis: 3.3,"Heart muscle - Cardiomyocytes, Testis - Early spermatids"
PKHD1,Group enriched,Detected in some,6,epididymis: 4.6;kidney: 13.2;pancreas: 9.1,"Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids"
PKHD1L1,Tissue enhanced,Detected in many,,adipose tissue: 24.6;thyroid gland: 66.7,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Mesothelial cells, Skeletal muscle - Smooth muscle cells"
PKIA,Group enriched,Detected in many,6,skeletal muscle: 1120.1;tongue: 915.9,"Skeletal muscle - Skeletal myocytes, Skin - Keratinocyte (other), Thyroid - Thyroid glandular cells"
PKIB,Tissue enhanced,Detected in many,,brain: 251.5;intestine: 89.8,"Colon - Colon enterocytes, Lung - Respiratory ciliated cells, Testis - Late spermatids"
PKLR,Tissue enhanced,Detected in some,,bone marrow: 19.3;kidney: 24.2;liver: 89.7,"Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Sebaceous gland cells, Testis - Late spermatids"
PKM,Tissue enhanced,Detected in all,,skeletal muscle: 3889.6;tongue: 2564.9,"Adipose subcutaneous - Adipose progenitor cells, Skeletal muscle - Skeletal myocytes"
PKMYT1,Tissue enhanced,Detected in many,,bone marrow: 27.3;testis: 55.3,"Colon - Mitotic cells (Colon), Heart muscle - Mitotic cells (Heart), Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Thyroid - Mitotic cells (Thyroid)"
PKNOX2,Tissue enhanced,Detected in many,,tongue: 34.9,"Colon - Enteric glia cells, Kidney - Fibroblasts, Liver - Hepatic stellate cells"
PKP1,Group enriched,Detected in many,4,esophagus: 405.0;skin 1: 681.7;vagina: 194.4,Prostate - Prostate glandular cells
PKP2,Tissue enhanced,Detected in many,,heart muscle: 191.1,Adipose subcutaneous - Adipocytes (Subcutaneous)
PKP3,Tissue enhanced,Detected in many,,esophagus: 286.1;skin 1: 215.9,"Colon - Colon enterocytes, Kidney - Endothelial cells, Lung - Alveolar cells type 2, Prostate - Prostate basal glandular cells, Stomach - Gastric mucous cells"
PKP4,Tissue enriched,Detected in all,7,brain: 377.9,"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells"
PLA1A,Tissue enhanced,Detected in many,,choroid plexus: 88.2;epididymis: 135.1;parathyroid gland: 63.7;seminal vesicle: 64.9,"Breast - Endothelial cells, Liver - Hepatocytes"
PLA2G10,Tissue enhanced,Detected in some,,intestine: 26.2;stomach 1: 40.8,"Colon - Colon enterocytes, Stomach - Gastric mucous cells"
PLA2G12B,Tissue enhanced,Detected in some,,intestine: 32.1;kidney: 13.8;liver: 68.8,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids"
PLA2G15,Tissue enhanced,Detected in all,,skeletal muscle: 56.2,"Adipose subcutaneous - Macrophages, Breast - Macrophages, Lung - Macrophages, Testis - Sertoli cells"
PLA2G1B,Tissue enriched,Detected in many,2908,pancreas: 113918.1,"Lung - Alveolar cells type 2, Pancreas - Exocrine glandular cells, Testis - Late spermatids"
PLA2G2A,Group enriched,Detected in many,4,adipose tissue: 904.0;intestine: 1462.3;placenta: 558.1;urinary bladder: 630.6,"Colon - Macrophages, Lung - Fibroblast_2, Thyroid - Macrophages"
PLA2G2C,Tissue enhanced,Detected in single,,intestine: 1.2,
PLA2G2D,Tissue enriched,Detected in some,23,lymphoid tissue: 103.9,
PLA2G2E,Tissue enriched,Detected in single,5,lymphoid tissue: 2.4,Skin - Hair cortex cells
PLA2G2F,Group enriched,Detected in some,25,lymphoid tissue: 7.8;skin 1: 14.4;urinary bladder: 11.4,
PLA2G3,Tissue enhanced,Detected in some,,esophagus: 13.4;skin 1: 14.9;vagina: 6.9,"Lung - Alveolar cells type 2, Skin - Keratinocyte (other)"
PLA2G4A,Tissue enhanced,Detected in many,,parathyroid gland: 84.3;seminal vesicle: 46.6,"Kidney - Fibroblasts, Skin - Mitotic cells (Skin), Thyroid - Fibroblasts"
PLA2G4C,Tissue enhanced,Detected in many,,retina: 76.4;skeletal muscle: 64.3,Heart muscle - Cardiomyocytes
PLA2G4D,Tissue enhanced,Detected in some,,prostate: 18.5;skin 1: 15.6;vagina: 21.8,
PLA2G4E,Tissue enriched,Detected in some,6,skin 1: 14.8,"Skin - Keratinocyte (other), Testis - Late spermatids"
PLA2G4F,Tissue enriched,Detected in many,6,skin 1: 76.0,"Colon - Colon enterocytes, Heart muscle - Cardiomyocytes, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Skin - Keratinocyte (other), Stomach - Gastric mucous cells"
PLA2G5,Tissue enhanced,Detected in many,,choroid plexus: 57.3;heart muscle: 128.4,"Colon - Smooth muscle cells, Prostate - Smooth muscle cells"
PLA2G7,Tissue enhanced,Detected in many,,lymphoid tissue: 26.5;placenta: 22.5,"Prostate - Prostate glandular cells, Skin - Sebaceous gland cells, Thyroid - Thyroid glandular cells"
PLA2R1,Tissue enhanced,Detected in many,,salivary gland: 38.0;thyroid gland: 40.6,"Kidney - Podocytes, Liver - Hepatic stellate cells, Lung - Fibroblast_1, Skeletal muscle - Fibroblasts, Skin - Eccrine sweat gland cells"
PLAAT1,Group enriched,Detected in many,7,skeletal muscle: 86.9;testis: 71.6;tongue: 42.8,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Testis - Early spermatids, Testis - Late spermatids"
PLAAT2,Tissue enriched,Detected in some,5,intestine: 65.9,"Breast - Breast glandular cells, Breast - Breast glandular cells, Colon - Colon enterocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Stomach - Gastric mucous cells"
PLAAT3,Tissue enhanced,Detected in all,,adipose tissue: 307.6;brain: 309.1,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes, Prostate - Smooth muscle cells"
PLAAT5,Group enriched,Detected in some,8,adipose tissue: 15.9;pancreas: 13.2;testis: 51.9,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Stomach - Fibroblasts, Testis - Early spermatids, Testis - Late spermatids"
PLAC1,Tissue enriched,Detected in single,29,placenta: 27.0,
PLAC8,Tissue enhanced,Detected in many,,bone marrow: 361.8;intestine: 228.1;lymphoid tissue: 151.4,"Adipose subcutaneous - T-cells, Breast - T-cells, Colon - Colon enterocytes, Prostate - T-cells, Stomach - Gastric mucous cells, Thyroid - T-cells"
PLAC8L1,Tissue enriched,Detected in some,7,testis: 17.9,"Testis - Early spermatids, Testis - Late spermatids"
PLAC9,Tissue enhanced,Detected in many,,choroid plexus: 222.1,"Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Stomach - Fibroblasts, Thyroid - Fibroblasts"
PLAG1,Tissue enhanced,Detected in many,,retina: 7.5,Heart muscle - Cardiomyocytes
PLAGL1,Tissue enhanced,Detected in all,,placenta: 238.9,"Skeletal muscle - Fibroblasts, Thyroid - Fibroblasts"
PLAGL2,Tissue enhanced,Detected in all,,bone marrow: 31.9,"Lung - Alveolar cells type 2, Testis - Early spermatids, Testis - Late spermatids"
PLAT,Tissue enhanced,Detected in many,,parathyroid gland: 237.9;urinary bladder: 174.7,"Kidney - Endothelial cells, Prostate - Urothelial cells, Testis - Sertoli cells, Thyroid - Fibroblasts"
PLAU,Tissue enhanced,Detected in many,,kidney: 101.0;urinary bladder: 123.8,
PLAUR,Tissue enriched,Detected in all,6,bone marrow: 680.7,Thyroid - Neutrophils
PLB1,Tissue enriched,Detected in many,5,intestine: 37.9,"Kidney - Macrophages, Lung - Neutrophil_2, Thyroid - Fibroblasts"
PLBD1,Tissue enhanced,Detected in many,,bone marrow: 283.0,"Breast - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Keratinocyte (other), Thyroid - Fibroblasts"
PLBD2,Tissue enhanced,Detected in all,,adrenal gland: 134.6,Skin - Fibroblast_2
PLCB1,Tissue enhanced,Detected in all,,brain: 47.5,"Adipose subcutaneous - Endothelial cells, Thyroid - Fibroblasts"
PLCB2,Tissue enhanced,Detected in many,,bone marrow: 51.9;lymphoid tissue: 39.7,"Breast - T-cells, Kidney - T-cells, Prostate - T-cells, Thyroid - T-cells"
PLCB3,Tissue enhanced,Detected in all,,intestine: 110.6,
PLCB4,Tissue enhanced,Detected in many,,brain: 37.1;salivary gland: 49.2,"Adipose subcutaneous - Smooth muscle cells, Liver - Hepatic stellate cells"
PLCD3,Tissue enhanced,Detected in all,,skeletal muscle: 82.8,"Heart muscle - Cardiomyocytes, Skin - Keratinocyte (granular)"
PLCD4,Group enriched,Detected in many,5,retina: 160.9;skeletal muscle: 110.0,"Testis - Early spermatids, Testis - Late spermatids"
PLCG2,Tissue enhanced,Detected in many,,lymphoid tissue: 44.0,"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Kidney - Intercalated cells, Liver - Hepatocytes, Prostate - Endothelial cells"
PLCH1,Tissue enhanced,Detected in many,,lymphoid tissue: 16.2;retina: 12.1;testis: 11.0,"Lung - Alveolar cells type 2, Skin - Eccrine sweat gland cells, Stomach - Gastric mucous cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Thyroid glandular cells"
PLCH2,Tissue enhanced,Detected in many,,brain: 70.4;retina: 43.5;skin 1: 57.8,"Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Breast - Breast myoepithelial cells, Heart muscle - T-cells, Pancreas - Beta cells, Skin - Keratinocyte (other)"
PLCL1,Tissue enhanced,Detected in many,,tongue: 39.2,"Liver - Hepatic stellate cells, Skeletal muscle - Skeletal myocytes, Testis - Early spermatids"
PLCL2,Tissue enhanced,Detected in many,,skeletal muscle: 26.2,"Prostate - Fibroblasts, Testis - Spermatogonia"
PLCXD2,Tissue enhanced,Detected in some,,retina: 14.3,"Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Breast - T-cells, Testis - Early spermatids, Testis - Late spermatids"
PLCXD3,Group enriched,Detected in many,4,adrenal gland: 12.3;brain: 21.5;heart muscle: 32.0;ovary: 27.2,"Breast - Endothelial cells, Skin - Endothelial cells, Testis - Endothelial cells"
PLCZ1,Tissue enriched,Detected in some,24,testis: 41.1,"Testis - Early spermatids, Testis - Late spermatids"
PLD1,Tissue enhanced,Detected in many,,gallbladder: 83.8,"Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Fibroblasts, Skin - Keratinocyte (other)"
PLD3,Tissue enhanced,Detected in all,,pituitary gland: 692.9,"Adipose subcutaneous - Macrophages, Breast - Fibroblasts, Colon - Fibroblasts"
PLD4,Tissue enhanced,Detected in many,,bone marrow: 13.2;brain: 15.6;lymphoid tissue: 11.0,"Prostate - T-cells, Skin - Langerhans cells, Thyroid - T-cells"
PLD5,Group enriched,Detected in some,6,brain: 7.4;choroid plexus: 26.8,"Adipose subcutaneous - Smooth muscle cells, Thyroid - Fibroblasts"
PLD6,Tissue enhanced,Detected in all,,brain: 21.6,"Adipose subcutaneous - Adipocytes (Subcutaneous), Testis - Spermatocytes"
PLEC,Tissue enhanced,Detected in all,,skeletal muscle: 235.7,
PLEK,Tissue enriched,Detected in many,5,bone marrow: 598.0,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Liver - Kupffer cells, Skeletal muscle - Macrophages, Testis - Macrophages"
PLEK2,Tissue enhanced,Detected in many,,adrenal gland: 49.5,"Adipose visceral - Mesothelial cells, Colon - Colon enterocytes, Prostate - Prostate basal glandular cells, Skin - Keratinocyte (other), Stomach - Gastric mucous cells, Testis - Leydig cells, Thyroid - Thyroid glandular cells"
PLEKHA2,Tissue enhanced,Detected in all,,lymphoid tissue: 76.8,
PLEKHB1,Tissue enhanced,Detected in many,,brain: 2660.8;retina: 735.1,"Colon - Enteric glia cells, Skin - Eccrine sweat gland cells"
PLEKHD1,Tissue enhanced,Detected in some,,brain: 9.8;parathyroid gland: 5.8;retina: 8.5,"Breast - Breast glandular cells, Skin - Eccrine sweat gland cells, Testis - Early spermatids, Testis - Late spermatids"
PLEKHF1,Tissue enhanced,Detected in many,,skeletal muscle: 74.5,Skin - Fibroblast_2
PLEKHF2,Tissue enhanced,Detected in all,,bone marrow: 101.3;lymphoid tissue: 69.7,"Skin - Keratinocyte (other), Testis - Early spermatids"
PLEKHG1,Tissue enhanced,Detected in all,,lymphoid tissue: 27.9,"Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Lung - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Stomach - Endothelial cells, Testis - Sertoli cells"
PLEKHG4,Tissue enhanced,Detected in many,,testis: 41.1,"Adipose subcutaneous - Adipose progenitor cells, Testis - Spermatocytes"
PLEKHG4B,Tissue enhanced,Detected in many,,choroid plexus: 8.1,"Adipose visceral - Mesothelial cells, Heart muscle - Cardiomyocytes, Lung - Respiratory ciliated cells"
PLEKHG5,Group enriched,Detected in many,4,brain: 146.3;lymphoid tissue: 49.6;pituitary gland: 42.2;skin 1: 99.8,"Liver - Vascular Endothelial cells, Skeletal muscle - Fibroblasts, Skin - Keratinocyte (other), Testis - Peritubular cells, Thyroid - Fibroblasts"
PLEKHG6,Tissue enhanced,Detected in many,,esophagus: 33.0;intestine: 38.9,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Colon - Colon enterocytes, Stomach - Gastric mucous cells"
PLEKHG7,Tissue enhanced,Detected in some,,epididymis: 1.8;fallopian tube: 2.5,Lung - Respiratory ciliated cells
PLEKHH1,Tissue enhanced,Detected in many,,brain: 46.1;thyroid gland: 37.7,"Prostate - Prostate glandular cells, Testis - Sertoli cells"
PLEKHM1,Tissue enhanced,Detected in many,,esophagus: 30.8,Skin - Keratinocyte (granular)
PLEKHM2,Tissue enhanced,Detected in all,,brain: 156.6,Testis - Early spermatids
PLEKHN1,Tissue enhanced,Detected in many,,esophagus: 53.4;skin 1: 44.6;vagina: 23.5,"Prostate - Urothelial cells, Skin - Keratinocyte (other)"
PLEKHO1,Tissue enhanced,Detected in all,,intestine: 195.5,"Liver - Vascular Endothelial cells, Prostate - Smooth muscle cells, Testis - Early spermatids, Testis - Late spermatids"
PLEKHO2,Tissue enhanced,Detected in all,,lymphoid tissue: 100.7,
PLEKHS1,Group enriched,Detected in many,4,breast: 24.0;cervix: 47.4;intestine: 35.7;pancreas: 26.2;salivary gland: 41.5,"Lung - Respiratory ciliated cells, Skin - Eccrine sweat gland cells, Testis - Early spermatids, Testis - Late spermatids"
PLG,Tissue enriched,Detected in some,11,liver: 2571.0,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Respiratory ciliated cells"
PLGLB1,Tissue enhanced,Detected in all,,brain: 61.5;liver: 229.3,
PLGLB2,Tissue enriched,Detected in some,165,liver: 443.3,
PLIN1,Group enriched,Detected in many,17,adipose tissue: 923.1;breast: 448.1,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Skin - Adipocytes (Skin), Testis - Early spermatids, Testis - Late spermatids"
PLIN2,Tissue enhanced,Detected in all,,adipose tissue: 601.5;liver: 877.8,
PLIN4,Tissue enhanced,Detected in many,,adipose tissue: 735.6;breast: 306.4;skeletal muscle: 241.1,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Prostate - Smooth muscle cells, Skin - Adipocytes (Skin)"
PLIN5,Tissue enhanced,Detected in many,,liver: 197.2;skeletal muscle: 143.9,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Lung - Alveolar cells type 2, Skin - Sebaceous gland cells"
PLK1,Tissue enhanced,Detected in many,,bone marrow: 31.6;lymphoid tissue: 42.7;testis: 32.1,"Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Testis - Early spermatids, Testis - Late spermatids"
PLK4,Group enriched,Detected in many,5,bone marrow: 22.3;lymphoid tissue: 14.0;testis: 22.0,"Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Testis - Early spermatids"
PLK5,Tissue enhanced,Detected in some,,brain: 34.3;cervix: 9.2,
PLLP,Tissue enhanced,Detected in all,,brain: 200.4,"Adipose visceral - Mesothelial cells, Liver - Hepatocytes, Lung - Alveolar cells type 1"
PLN,Group enriched,Detected in many,5,heart muscle: 1507.8;skeletal muscle: 489.1,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Colon - Smooth muscle cells, Heart muscle - Cardiomyocytes, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Skeletal myocytes, Thyroid - Smooth muscle cells"
PLP1,Tissue enriched,Detected in many,53,brain: 10451.4,"Adipose visceral - Smooth muscle cells, Colon - Enteric glia cells, Testis - Sertoli cells"
PLPP2,Tissue enhanced,Detected in many,,salivary gland: 102.6,"Liver - Cholangiocyte, Lung - Respiratory ciliated cells, Skin - Keratinocyte (other), Stomach - Gastric mucous cells, Testis - Spermatogonia"
PLPP4,Tissue enriched,Detected in single,4,brain: 3.8,"Adipose visceral - Mesothelial cells, Colon - Colon enteroendocrine cells, Liver - Hepatic stellate cells"
PLPP7,Group enriched,Detected in many,7,heart muscle: 88.3;skeletal muscle: 202.7;tongue: 71.5,Heart muscle - Cardiomyocytes
PLPPR1,Group enriched,Detected in some,6,brain: 24.7;kidney: 15.1,"Liver - Hepatocytes, Pancreas - Alpha cells, Skin - Eccrine sweat gland cells, Testis - Early spermatids"
PLPPR2,Tissue enhanced,Detected in all,,brain: 114.3,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells"
PLPPR3,Tissue enhanced,Detected in some,,bone marrow: 9.7;brain: 40.8;fallopian tube: 10.8,"Breast - Breast glandular cells, Lung - Respiratory ciliated cells, Testis - Spermatogonia"
PLPPR4,Tissue enriched,Detected in many,7,brain: 51.8,
PLPPR5,Tissue enhanced,Detected in some,,brain: 6.7;retina: 1.6;testis: 2.0,"Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Testis - Spermatogonia"
PLS1,Tissue enriched,Detected in many,7,intestine: 306.3,"Colon - Colon enterocytes, Liver - Hepatocytes, Lung - Alveolar cells type 2, Stomach - Gastric mucous cells, Testis - Early spermatids, Thyroid - Thyroid glandular cells"
PLSCR2,Tissue enriched,Detected in some,9,testis: 13.2,"Testis - Early spermatids, Testis - Late spermatids"
PLVAP,Tissue enhanced,Detected in many,,thyroid gland: 423.1,"Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Pancreas - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Endothelial cells, Stomach - Endothelial cells, Thyroid - Endothelial cells"
PLXDC1,Tissue enhanced,Detected in many,,retina: 46.9,"Adipose subcutaneous - Adipose progenitor cells, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Skeletal muscle - Fibroblasts"
PLXNA2,Tissue enhanced,Detected in many,,pancreas: 33.9,"Breast - Endothelial cells, Heart muscle - Endothelial cells, Liver - Vascular Endothelial cells"
PLXNA4,Tissue enhanced,Detected in many,,adipose tissue: 13.3,"Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast), Testis - Late spermatids"
PLXNB3,Tissue enhanced,Detected in many,,brain: 84.0;intestine: 55.3,Testis - Sertoli cells
PM20D1,Group enriched,Detected in some,9,pancreas: 75.5;skin 1: 32.7,"Kidney - Proximal tubular cells, Skin - Sebaceous gland cells"
PMAIP1,Tissue enhanced,Detected in many,,bone marrow: 87.0,"Breast - T-cells, Kidney - Endothelial cells, Skin - Keratinocyte (other), Testis - Spermatogonia"
PMCH,Tissue enriched,Detected in some,691,brain: 715.2,
PMEL,Group enriched,Detected in many,9,cervix: 78.0;endometrium 1: 31.2;skin 1: 112.3,"Liver - Hepatocytes, Skin - Melanocytes"
PMEPA1,Tissue enhanced,Detected in all,,prostate: 106.0,"Breast - Adipocytes (Breast), Colon - Enteric glia cells, Prostate - Prostate glandular cells, Thyroid - Fibroblasts"
PMFBP1,Tissue enhanced,Detected in many,,epididymis: 13.1;testis: 20.3,"Adipose subcutaneous - Macrophages, Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids"
PMP2,Tissue enriched,Detected in many,20,brain: 386.6,"Colon - Enteric glia cells, Stomach - Fibroblasts, Thyroid - Fibroblasts"
PMS1,Tissue enhanced,Detected in all,,testis: 47.1,Testis - Early spermatids
